id;value;rollover_value;credit_sale;manual_counter;manual_multiplier;decimals_manual_counter;counter_counter_code;device_id
e02053f3-9951-4ade-bba2-bdf9669f4887;84735;75991;83110;true;67511;true;da;44d72ccd-44d0-4b29-88b1-db1756095203
fba5143a-207e-4829-8445-6cba81cc0b66;59813;25507;3737;false;42326;true;31;09a3d932-9eb4-49c3-b7dc-ee4cf4d911ee
8ffa43ae-35fe-43d9-af26-3f45aaf852b2;910;71181;40999;true;55293;true;54;b458ed40-c77c-45f5-bcda-4a2c5da8f378
85701ecf-186e-461a-936f-8c663f9e49ef;78698;71200;59895;false;19094;true;59;8a7d7f0c-5511-42c4-a93a-a21fc219929f
53a12cad-f728-4dc2-abdf-ba3087252fdb;5415;88055;23009;false;40785;false;52;9a575700-ed70-44ac-a454-df5f83d8da81
842368a4-85d8-4aad-86df-299d99b9f799;31802;86998;69124;true;89801;false;1d;8ffec69f-9ac5-4413-a870-502b0a1a9956
49bcb6c5-9e6f-41bd-b682-59e03623fb03;29667;77294;95102;true;21323;true;aa;ac6b10f0-27a0-42b9-b3f2-7e3246b37334
2662b71b-543e-4a20-865f-9d701b60c234;60704;95374;78579;true;19298;true;8c;e64c0702-7576-401d-84c8-283093f7d60d
de18c834-2ae9-41d6-92a6-8024d28d54c5;39896;80886;93855;true;76101;true;0a;cbb752e2-1edb-4cee-a46d-fa41a3f2dc41
25ebeaf1-589c-4be4-9468-10d67f095f20;17021;8192;24139;true;14316;true;24;b3c72aad-e5d6-4aba-a8d2-a3b123b31b0f
