counter_code;name;description;included_in_formula;prize;category;udte_wait_time
da2bdb27-3164-4f73-a0f0-f311bddcc02e;Borders program Hogar;Loan Loan Corporativo;false;false;Datos quantifying Genérico;81910
31b9e6b6-2c1d-4703-aec9-16a1b6c0c5e3;Implementación Algodón;Pizza;true;false;dynamic;87848
54792b55-de2f-47d4-bcff-6f9c21292ee8;Vasco;Increible Taka;false;false;Aruba;97077
59f84242-dbd0-4c5e-9ec9-8acf143d3665;experiences SDD;parsing protocol;false;false;schemas;54737
52d1ecff-0d53-4f9a-beed-9a7500a8f9c9;Fantástico Organizado;Salida Informática compressing;true;true;Amarillo integrate Bicicleta;7772
1def8eef-9635-4e65-b894-1457499fbcc3;Blanco e-business firewall;Algodón;false;true;Violeta e-enable;21565
aab1246a-437b-466d-b0f6-452ffe5eb115;Pollo;wireless;false;false;Granito relationships Cambridgeshire;30962
8c9aaab1-954a-4618-a0a9-9b46f2c23ab6;Denar payment;impactful;false;false;Queso Investment;76449
0afce880-74dd-4964-95ed-217c7fdd1280;Director hacking;móbil;false;true;interactive Violeta;34022
24eea9bc-3aac-45b6-8f53-20cbd4467791;parsing users;virtual withdrawal;true;true;driver benchmark;1289
