id;code;name;dane_code;phone_id
1;Versatil;wireless bus Juguetería;global funcionalidad;regional
2;Pollo;Rojo;navigating Gorro Savings;Consultor escal
3;Borders;Account Totalmente;Sierra;Won
4;Algodón Madera Refinado;distributed;Director;override bypass
5;withdrawal;Ordenador;Plástico 1080p Acero;Violeta
6;Guapo Borders Toallas;back-end;Técnico;copy payment
7;Dram;USB RAM online;quantifying;Seguro
8;Artesanal;Fundamental matrix Kuwait;Salud;Electrónica Can
9;Rial;Papelería;Pequeño local;payment
10;Ergonómico Nacional neura;Atún Cliente Global;Pantalones Fiji;networks Asiste
