id;serial;is_protocol_esdcs;number_played_report;sas_denomination;is_multigame;is_multi_denomination;is_retanqueo;state;theoretical_hold;sas_identifier;credit_limit;has_hooper;coljuegos_code;fabrication_date;current_token;denomination_tito;end_lost_communication;start_lost_communication;report_multiplier;nuid;pay_manual_prize;manual_handpay;manual_jackpot;manual_game_event;bet_code;homologation_indicator;coljuegos_model;reportable;aft_denomination;last_update_date;enable_rollover;last_corruption_date;daft_denomination;prizes_enabled;id_interfacing_id;id_model_id;id_device_category_id;id_device_type_id
44d72ccd-44d0-4b29-88b1-db1756095203;Acero Sorprendente Ejecutivo;true;90796;1012;true;true;true;Metal Interacciones;31230;82750;50121;true;distributed Azul Morado;2021-09-27;22348;35381;2021-09-27T13:36:13;2021-09-27T15:25:26;47449;Aragón;false;false;false;false;payment;false;transmitting Práctico Checking;true;44476;2021-09-26T23:45:23;true;2021-09-27T00:33:15;20012;true;1;1;1;1
09a3d932-9eb4-49c3-b7dc-ee4cf4d911ee;País;true;92567;81813;false;true;true;bus;12352;57511;54289;true;innovadora Funcionario;2021-09-26;4547;67401;2021-09-27T04:40:41;2021-09-27T12:47:48;1203;Electrónica bus;false;false;true;true;valor matrix habilidad;true;evolve Genérico;true;75230;2021-09-27T03:38:14;false;2021-09-27T07:19:04;34214;false;2;2;2;2
b458ed40-c77c-45f5-bcda-4a2c5da8f378;Adelante Morado hard;false;96868;8919;false;true;false;Refinado one-to-one experiences;71984;39934;53550;true;Investment Seguro;2021-09-27;40317;52019;2021-09-26T20:14:16;2021-09-27T19:39:38;16808;AI one-to-one Orgánico;true;false;true;true;Fantástico Negro;true;Auto applications cultivate;true;97910;2021-09-27T02:01:33;true;2021-09-26T23:40:26;3404;false;3;3;3;3
8a7d7f0c-5511-42c4-a93a-a21fc219929f;Pantalones marco Bedfordshire;true;61736;90017;false;true;true;optimizada communities;21462;17224;40266;true;haptic;2021-09-27;8223;21558;2021-09-27T19:53:45;2021-09-27T10:59:48;93971;synthesizing;false;false;false;false;Gorro;false;Extremadura;false;79776;2021-09-27T10:10:34;true;2021-09-27T00:08:03;46565;true;4;4;4;4
9a575700-ed70-44ac-a454-df5f83d8da81;Account;false;45361;35391;false;false;true;Librería Guyana Hormigon;96688;84759;84050;true;Arquitecto;2021-09-27;43831;81792;2021-09-26T20:20:57;2021-09-27T03:46:11;25818;Senegal;true;true;false;false;Amarillo Representante;false;caja;true;38737;2021-09-27T02:26:31;true;2021-09-27T03:55:27;19477;false;5;5;5;5
8ffec69f-9ac5-4413-a870-502b0a1a9956;Facilitador;false;6552;24721;true;true;false;Juguetería Atún;9069;26160;62001;true;Castilla Librería;2021-09-27;64107;69425;2021-09-27T12:14:34;2021-09-27T15:39:45;33288;generate cutting-edge Account;false;false;false;true;Cuba;true;Cliente back-end;true;99726;2021-09-26T22:15:19;true;2021-09-27T13:06:03;25196;false;6;6;6;6
ac6b10f0-27a0-42b9-b3f2-7e3246b37334;reboot;true;40425;97245;true;true;false;portal;87947;97695;90583;false;mission-critical Account;2021-09-27;6645;38598;2021-09-27T01:13:08;2021-09-27T10:57:45;21191;Configuración;true;true;false;true;JBOD Cambridgeshire;true;Acero viral;false;31849;2021-09-27T16:25:28;false;2021-09-27T11:11:28;24231;false;7;7;7;7
e64c0702-7576-401d-84c8-283093f7d60d;Arquitecto;true;2450;96917;false;false;false;Especialista;45147;29836;50404;false;Artesanal;2021-09-27;8268;68165;2021-09-27T09:15:50;2021-09-27T07:39:00;63852;panel;false;true;true;true;Riyal withdrawal contenido;false;Plástico GB web-readiness;true;7951;2021-09-27T14:59:09;false;2021-09-27T11:22:24;15500;false;8;8;8;8
cbb752e2-1edb-4cee-a46d-fa41a3f2dc41;asíncrona Ladrillo;true;92045;14924;false;true;true;Tácticas;39519;14300;61101;true;Bicicleta open-source Money;2021-09-27;48832;83646;2021-09-27T10:06:18;2021-09-27T00:17:31;51170;invoice Algodón;true;true;false;false;Ladrillo Pescado;true;Acero;true;61116;2021-09-27T16:15:02;false;2021-09-27T02:41:41;4407;true;9;9;9;9
b3c72aad-e5d6-4aba-a8d2-a3b123b31b0f;Respuesta;false;57762;89526;false;true;true;Dollar;94247;26019;92228;true;Urbanización;2021-09-27;36979;33103;2021-09-27T05:54:08;2021-09-26T21:20:57;35645;Asturias;false;false;false;false;24/365 Borders;true;concepto withdrawal;true;48004;2021-09-26T20:25:29;true;2021-09-27T16:30:09;76633;false;10;10;10;10
