id;registration_at;serial;departure_at;device_number;consecutive_device;negative_award;id_establishment_id
9be81245-d89a-43c0-9538-fceb632175a9;2021-09-27T08:07:10;Granito Marroquinería;2021-09-26T22:40:32;79970;83238;49023;1
1c7cbd7a-cacf-449b-9e28-7dc9398474f4;2021-09-27T06:36:29;Realineado Toallas SAS;2021-09-27T01:21:50;61602;59065;51728;2
1a7f5251-ecea-4b61-9b4c-995ef834b7b3;2021-09-27T16:23:26;Bloque;2021-09-27T10:14:03;25289;81385;31452;3
18d210ea-4cb9-41e6-a50b-0328a5c1974f;2021-09-27T05:38:35;Guilder Representante;2021-09-26T21:50:15;18561;83493;90760;4
7d7d9d4b-0400-4843-bd22-743b85c6b0c6;2021-09-27T11:19:35;Realineado Pollo interfaz;2021-09-27T01:54:57;93293;56668;52660;5
238d69da-6c5b-402a-a3f4-1fd6429cab8c;2021-09-27T00:21:39;Rojo Agente;2021-09-27T01:38:16;13720;40336;43435;6
db844e92-0c2f-4de0-afff-1b97df152809;2021-09-27T02:46:35;Metal Tobago Loan;2021-09-27T11:52:22;64345;60654;44223;7
24d1e85b-14b1-4b36-9f39-f3b27683891e;2021-09-27T04:57:19;Plástico;2021-09-26T21:35:34;82595;35984;63088;8
4a305f5c-b866-4dae-a095-f8504b7165db;2021-09-27T11:34:34;card;2021-09-27T09:53:36;18041;96019;23794;9
0e74f4e1-e5cd-4d2b-b327-5a84617fd046;2021-09-27T14:59:54;system cross-platform Zapatos;2021-09-27T11:58:05;14215;73671;64263;10
