id;is_assigned;ip_address;hash;serial;version;port;establishment_id
1;true;HDD estable;marco program;Cliente deposit SAS;web-enable;Gerente Ensalada deliver;1
2;true;index generating;Asturias Sabroso;intangible;Ergonómico;e-markets TCP;2
3;false;País connect;Futuro mindshare;Plástico Zapatos;Aragón Ama;Algodón;3
4;false;portal generating Mozambi;logística;Baleares optical;Bebes;Central;4
5;false;Acero world-class;withdrawal;Inteligente;Metal;invoice;5
6;false;Práctico synthesize;Eslovenia Madera;Gráfica Datos Analista;capacitor ;e-business Acero;6
7;false;Jefe monetize;generating;Director calculating;distribute;primary codificar previsión;7
8;true;RSS strategic;Desarrollador Australia;Poblado radical;Metal Tota;Seguro Cuba;8
9;true;networks withdrawal;bypass wireless portals;Seguridada red Honduras;Música;deposit COM impactful;9
10;true;Aragón Gorro GB;multi-byte Bicicleta;conglomeración FTP;networks c;index;10
