id;code;name;dane_code
1;Castilla-La SCSI rich;Credit Sincronizado Hormigon;Navarra
2;Comunidad withdrawal Blan;Cambridgeshire Cliente Guapa;JBOD Camiseta
3;por;e-commerce;Aplicaciones Conjunto
4;auxiliary Ordenador Mader;SDR;Metal JBOD
5;Asimilado;compressing Investigación compressing;Auto multiestado Guapo
6;Mobilidad;index connecting;deposit Madera
7;Identidad;enhance Madera;Dinánmico program
8;Comunidad Ordenador Nacio;online;Inteligente collaborative
9;e-business withdrawal FTP;neural generate;Kwacha multi-byte
10;Heredado CSS bypassing;Rusia Marca Francia;Bicicleta Reino Navarra
