id;permit_description;end_date;start_date;min_accumulated_prize;min_individual_prize;min_transaction_accumulated;min_individual_transaction;nit;contract_number;event_quantity;company_name;brand
1;platforms payment;2021-09-27T16:45:02;2021-09-27T00:49:32;25200;74786;27509;22499;multi-byte HDD Hormigon;Atún Silla Sopa;338;de Marroquinería;cross-media
2;Berkshire Moda Pollo;2021-09-27T05:00:06;2021-09-27T08:42:29;59179;54789;34160;41059;Productor Bedfordshire Diseñador;indexing microchip Indonesia;57181;24/7 bandwidth;interfaces Borders Checking
3;bus Gris functionalities;2021-09-27T18:23:56;2021-09-27T11:33:43;22332;28432;21467;49777;Papelería Música Vatu;target intangible Castilla;9067;Futuro Papelería Intranet;Canarias intranet Prolongación
4;conglomeración;2021-09-27T11:54:50;2021-09-27T17:07:34;76764;26975;1941;35180;state;portal;90343;Metal;Salud input
5;Algodón calculating Orígenes;2021-09-27T05:21:49;2021-09-27T00:46:08;78772;12263;57864;29803;Bloque monitor hacking;Avon overriding;20173;solutions program;Pula trabajo
6;Martinica;2021-09-27T04:43:58;2021-09-27T18:34:11;77758;55990;53239;43163;Cantabria Refinado;Supervisor Plástico;64263;overriding Atún;Atún Operaciones
7;feed;2021-09-27T01:26:50;2021-09-26T23:08:50;53838;65073;20426;70057;Patatas;hardware;7757;estatica;circuit
8;Auto systems;2021-09-27T00:50:04;2021-09-27T05:56:42;71195;50911;52273;14838;bypassing Morado;Open-source regional;59653;Nueva moderador;Aldea Identidad
9;XML;2021-09-27T16:18:54;2021-09-27T20:00:31;3246;64970;70376;759;Vía;Jefe Escalinata capacitor;59399;productividad;Guinea-Bisau e-tailers Granito
10;deposit Profundo Torrente;2021-09-27T06:47:13;2021-09-27T03:21:04;40211;15392;82111;86048;dedicada Re-implementado uniforme;XML;31483;deposit;Amarillo
